Name,Abung,Balagbag,Barualte,Bataan,Buhay Na Sapa,Bulsa,Calicanto,Calitcalit,Calubcub I,Calubcub II,Catmon,Coloconto,Escribano,Hugom,Imelda (Tubog),Janaojanao,Laiya-Aplaya,Laiya-Ibabao,Libato,Lipahan,Mabalanoy,Maraykit,Muzon,Nagsaulay,Palahanan I,Palahanan II,Palingowak,Pinagbayanan,Poblacion,Poctol,Pulangbato,Putingbuhangin,Quipot,Sampiro,Sapangan,Sico I,Sico II,Subukin,Talahiban I,Talahiban II,Ticalan,Tipaz
San Juan Rural Health Unit II,2576.995,2314.8820000000005,14555.676,11861.882999999998,0,12680.701000000003,5965.130000000001,5624.536000000001,4375.893,6094.385,6457.059,9617.18,8123.555000000001,19682.70599999999,16215.552999999998,10017.928,17937.511999999995,14209.704,9363.981000000002,6347.281,3283.01,5249.762000000001,10087.088000000002,9724.115,8014.786000000003,9318.710000000003,5521.551,4630.024,4621.490000000001,7011.285,7686.286000000002,2318.7000000000003,4078.5190000000002,1726.9949999999997,5724.416000000001,6706.621,7732.687000000003,7645.069000000001,3060.742,2967.374,2330.1160000000004,7578.875000000003
"San Juan Doctors Hospital, Inc.",7795.473,3508.1610000000005,19774.154,17080.360999999997,5480.6990000000005,17899.179000000004,3236.0700000000006,143.837,9594.371,11312.863000000001,5906.393,14835.658000000001,6647.551,24901.183999999994,21434.031,7273.216,23155.99,19428.182,7560.95,897.0409999999999,2197.6890000000003,2520.702,7358.028,14942.593,5285.725999999999,6589.6500000000015,911.769,5089.702,1889.9920000000002,3625.363,12904.764000000005,6493.395,9559.218000000003,7078.3690000000015,10832.768999999998,3977.5609999999992,5003.626999999999,12863.547000000004,3955.140000000001,3488.5350000000003,6062.633,2098.176
San Juan Rural Health Unit I,6692.138000000002,4064.3019999999997,18670.819,15977.025999999996,4115.143,16795.844,1857.7360000000006,1684.927,8491.036000000004,10209.528,7447.483,13732.322999999999,5269.217,23797.848999999995,20330.696000000004,5910.533999999999,22052.655,18324.847,6182.615999999999,2381.999,832.1330000000002,1142.368,5979.6939999999995,13839.257999999996,3907.392,5211.316000000001,2452.859,6379.444000000002,511.658,5166.453,11801.428999999998,6433.843000000003,8193.662000000004,5712.813000000002,9467.213,2599.227,3625.2929999999997,11760.211999999998,2589.584,2122.9790000000003,6445.259000000003,3639.266
Divine Care Hospital Multi Services Corp.,9942.419000000002,7314.582999999996,21921.09999999999,19227.30699999999,7365.423999999996,20046.124999999993,1858.449,4802.993999999999,11741.317000000006,13459.809000000003,10565.550000000003,16982.604,3351.5860000000002,27048.12999999999,23580.977,2907.3509999999997,25302.935999999994,21575.127999999997,3083.7780000000002,5481.615999999999,4082.414000000001,2138.455,2698.871,17089.538999999993,626.569,1930.493,5570.925999999999,9629.725000000002,3254.308,8284.52,15051.710000000001,9684.124000000003,11443.943000000005,8963.094000000003,8151.726999999998,681.596,344.46999999999997,15010.493,5839.864999999999,5373.259999999998,9695.540000000003,6757.332999999999
San Juan District Hospital,4862.422,2623.27,16841.103,14147.309999999998,2285.427,14966.128000000002,3679.7030000000004,3339.109,6661.320000000001,8379.812000000002,6765.447000000001,11902.607,5975.6050000000005,21968.132999999994,18500.980000000003,7732.501000000001,20222.939,16495.131,7078.554000000002,4061.853999999999,997.5830000000001,2964.3349999999996,7801.661000000002,12009.542,5729.359000000002,7033.283000000003,3236.1239999999993,4938.412000000001,2336.063,6769.188000000003,9971.713000000002,4604.127,6363.946000000001,3883.097,7637.4969999999985,4421.194,5447.260000000002,9930.496000000001,912.7919999999999,681.9469999999999,4615.543000000001,5293.448000000003
Abung Elementary School,0,4287.312,11978.681,9284.887999999999,2576.995,10103.706000000004,8542.125,7939.3099999999995,1798.898,3517.39,8429.489000000001,7040.185000000001,10700.550000000001,17105.710999999992,13638.557999999999,12594.922999999999,15360.516999999998,11632.709,11940.976,8692.514,5860.005000000001,7826.757,12664.083,7147.120000000001,10591.781000000003,11895.705000000002,7783.871999999999,6602.4540000000015,7198.485000000001,8983.715000000002,5109.291000000001,2296.148,4812.5340000000015,4303.99,8301.411,9283.616,10309.682000000003,5068.0740000000005,5637.737000000001,5544.369000000001,4302.546,9893.649
Balagbag Elementary School,4444.506000000001,157.194,16423.187,13729.393999999998,2472.0759999999996,14548.212000000003,6071.483000000001,3809.192,6243.4039999999995,7961.896000000002,3984.983,11484.691,8556.935000000001,21550.216999999993,18083.064,10124.280999999999,19805.023,16077.215,9470.334,4562.396,3389.363,5356.115,10193.440999999999,11591.626,8121.139000000002,9425.063000000002,3653.754,2157.9480000000003,4727.843000000001,4539.209,9553.797000000004,3142.428,6478.238,4199.070999999999,8156.017,6812.974000000001,7839.040000000002,9512.580000000004,3540.332,2098.517,2711.6659999999997,5763.531
Paaralang Elementarya Ng Barualte,11558.260999999995,15845.572999999993,420.41999999999996,2273.373,14135.255999999992,4827.81,20100.385999999995,19497.570999999993,9759.363,8494.669,19987.749999999996,7137.5689999999995,22258.811,8095.906,2080.297,24153.184000000005,6350.7119999999995,2622.904,23499.237000000005,20250.774999999998,17418.265999999992,19385.017999999993,24222.34400000001,4411.1410000000005,22150.042,23453.966000000004,19342.132999999994,18160.714999999997,18756.745999999996,20541.976000000002,12933.639999999994,13854.408999999994,16370.794999999993,15862.250999999993,19859.671999999995,20841.877,21867.943000000003,6490.187000000001,17195.997999999992,17102.629999999994,15860.806999999993,21451.91
Paaralang Elementarya ng Bataan,9284.887999999997,13572.199999999995,2693.7929999999997,0,11861.882999999994,4552.727,17827.012999999995,17224.197999999993,7485.99,6221.295999999999,17714.376999999997,5979.295999999999,19985.438000000002,7820.823,4353.67,21879.811000000005,6075.629,2347.821,21225.864000000005,17977.402,15144.892999999996,17111.644999999993,21948.97100000001,2137.768,19876.669,21180.593000000004,17068.759999999995,15887.341999999997,16483.372999999996,18268.603000000003,10660.266999999996,11581.035999999996,14097.421999999995,13588.877999999995,17586.298999999995,18568.504,19594.570000000003,4216.814,14922.624999999996,14829.256999999996,13587.433999999996,19178.537
Paaralang Elementarya Ng Buhaynasapa,2968.8989999999994,1850.621,14947.580000000002,12253.787,464.26099999999997,13072.605000000005,6429.3910000000005,5502.619,4767.797,6486.289,5992.798000000001,10009.084000000003,8587.816000000003,20074.609999999993,16607.457,10482.189,18329.415999999997,14601.608000000002,9828.242000000002,6255.822999999999,3747.2710000000006,5714.023,10551.349000000002,10116.019000000002,8479.047000000004,9782.971000000003,5347.181,4165.763000000001,5085.751,6547.024,8078.190000000001,2206.7129999999997,4470.423,2191.2559999999994,6188.677000000001,7170.882,8196.948000000002,8036.973000000001,3525.0030000000006,3431.635,1865.855,7456.958
Paaralang Elementarya ng Bulsa,9976.630999999998,14263.942999999997,5121.155000000001,4425.652,12553.625999999998,127.075,18518.756000000005,17915.941000000003,8177.733000000001,6638.778000000001,18406.120000000006,4028.801,20677.181000000004,10248.185,6781.032,22571.554000000004,8502.991,4775.183,21917.607000000004,18669.145000000004,15836.636,17803.388000000003,22640.714000000007,6563.420000000001,20568.41200000001,21872.336000000003,17760.503000000004,16579.085000000003,17175.116,18960.346000000005,11352.009999999997,12272.778999999999,14789.165,14280.620999999997,18278.042000000005,19260.247000000003,20286.31300000001,6638.026000000001,15614.368,15521.0,14279.176999999998,19870.280000000006
Calitcalit Elementary School,7939.3099999999995,3651.9980000000005,19917.991,17224.198,5624.536,18043.016000000007,3379.9070000000006,0,9738.207999999999,11456.7,5837.216,14979.495,6791.388,25045.020999999997,21577.868000000002,7417.053,23299.827000000005,19572.019000000004,7704.786999999999,1040.878,2341.5260000000003,2664.539,7501.865,15086.43,5429.562999999998,6733.487000000001,842.592,5020.525000000001,2033.8290000000002,3556.1859999999997,13048.601000000004,6637.232,9703.055000000002,7222.206000000001,10976.605999999998,4121.397999999999,5147.463999999998,13007.384000000004,4098.977000000001,3632.3720000000003,6206.469999999999,1954.3390000000002
Paaralang Elementarya ng Marcal,8519.332000000002,5891.4959999999965,20498.012999999995,17804.219999999994,5942.336999999997,18623.037999999997,0,3379.9069999999997,10318.230000000007,12036.722000000003,9142.463000000003,15559.517000000002,3846.843,25625.042999999994,22157.890000000003,4488.159999999999,23879.849,20152.041,4760.241999999999,4058.529,2659.327,715.3679999999999,4557.32,15666.452,2485.0180000000005,3788.942000000001,4147.838999999999,8206.638,1831.2209999999998,6861.433,13628.623000000001,8261.037000000002,10020.856000000005,7540.0070000000005,8646.983999999999,1176.853,2202.919,13587.406,4416.777999999999,3950.1729999999993,8272.453000000001,5334.245999999999
Calubcub I Elementary School,1908.1060000000002,6195.418,10288.991,7595.1979999999985,4485.100999999999,8414.016000000003,10450.231000000002,9847.416000000001,109.208,1827.7000000000003,10337.595000000003,5350.495000000001,12608.656000000003,15416.020999999997,11948.867999999999,14503.029,13670.826999999997,9943.019,13849.082000000002,10600.62,7768.111000000001,9734.863000000001,14572.189000000002,5457.430000000001,12499.887000000004,13803.811000000003,9691.978000000001,8510.560000000003,9106.591000000002,10891.821000000004,3419.601,4204.254,6720.640000000001,6212.096,10209.517000000002,11191.722000000002,12217.788000000004,3378.3839999999996,7545.843000000001,7452.475,6210.652,11801.755000000001
Calubcub II Elementary School,3506.623,7793.935,8904.321999999998,6210.528999999998,6083.6179999999995,6597.083000000001,12048.748000000001,11445.933,1707.7250000000001,168.77,11936.112000000003,3965.826,14207.173000000003,14031.351999999995,10564.198999999997,16101.546,12286.157999999996,8558.349999999999,15447.599000000002,12199.137,9366.628000000002,11333.380000000001,16170.706000000002,4072.761000000001,14098.404000000004,15402.328000000003,11290.495,10109.077000000003,10705.108000000002,12490.338000000003,4882.0019999999995,5802.771000000001,8319.157000000003,7810.613,11808.034000000001,12790.239000000001,13816.305000000004,1993.715,9144.360000000002,9050.992000000002,7809.169000000001,13400.272
